"","systematic_name","gene","treatment_id","sample_id","abundance_log2"
"1","YAL003W","EFB1","UT","UT.3_1",18.75982328
"2","YAL005C","SSA1","UT","UT.3_1",17.59369054
"3","YAL007C","ERP2","UT","UT.3_1",15.72882357
"4","YAL012W","CYS3","UT","UT.3_1",18.34456614
"5","YAL016W","TPD3","UT","UT.3_1",16.04226522
"6","YAL021C","CCR4","UT","UT.3_1",14.73390145
"7","YAL023C","PMT2","UT","UT.3_1",15.51947603
"8","YAL035W","FUN12","UT","UT.3_1",15.95725281
"9","YAL036C","RBG1","UT","UT.3_1",16.06979154
"10","YAL038W","CDC19","UT","UT.3_1",21.13655656
"11","YAL042W","ERV46","UT","UT.3_1",14.67053102
"12","YAL044C","GCV3","UT","UT.3_1",15.22289585
"13","YAL060W","BDH1","UT","UT.3_1",14.63132717
"14","YAR002C-A","ERP1","UT","UT.3_1",16.58659415
"15","YAR002W","NUP60","UT","UT.3_1",14.56371467
"16","YAR007C","RFA1","UT","UT.3_1",15.06092545
"17","YAR015W","ADE1","UT","UT.3_1",15.52198951
"18","YBL002W","HTB2","UT","UT.3_1",18.427215
"19","YBL003C;YDR225W",NA,"UT","UT.3_1",19.8322591
"20","YBL007C","SLA1","UT","UT.3_1",14.79584675
"21","YBL017C","PEP1","UT","UT.3_1",14.7141064
"22","YBL022C","PIM1","UT","UT.3_1",14.34564225
"23","YBL023C","MCM2","UT","UT.3_1",14.22280905
"24","YBL024W","NCL1","UT","UT.3_1",16.05649136
"25","YBL026W","LSM2","UT","UT.3_1",15.73402238
"26","YBL027W;YBR084C-A",NA,"UT","UT.3_1",18.66079502
"27","YBL030C","PET9","UT","UT.3_1",16.48908527
"28","YBL032W","HEK2","UT","UT.3_1",15.76181629
"29","YBL036C","YBL036C","UT","UT.3_1",15.34080742
"30","YBL039C","URA7","UT","UT.3_1",16.32446845
"31","YBL041W","PRE7","UT","UT.3_1",15.5282093
"32","YBL045C","COR1","UT","UT.3_1",15.70216296
"33","YBL047C","EDE1","UT","UT.3_1",15.28476354
"34","YBL050W","SEC17","UT","UT.3_1",16.10282024
"35","YBL058W","SHP1","UT","UT.3_1",14.40247319
"36","YBL064C","PRX1","UT","UT.3_1",13.61776529
"37","YBL072C;YER102W",NA,"UT","UT.3_1",20.9441464
"38","YBL075C","SSA3","UT","UT.3_1",18.39080052
"39","YBL076C","ILS1","UT","UT.3_1",17.6733184
"40","YBL087C;YER117W",NA,"UT","UT.3_1",19.00953427
"41","YBL091C","MAP2","UT","UT.3_1",15.0634503
"42","YBL092W","RPL32","UT","UT.3_1",19.24670251
"43","YBL099W","ATP1","UT","UT.3_1",17.78429197
"44","YBL102W","SFT2","UT","UT.3_1",15.56245107
"45","YBR009C;YNL030W",NA,"UT","UT.3_1",18.63184631
"46","YBR011C","IPP1","UT","UT.3_1",17.7009651
"47","YBR015C","MNN2","UT","UT.3_1",15.47310707
"48","YBR017C","KAP104","UT","UT.3_1",15.56201155
"49","YBR025C","OLA1","UT","UT.3_1",17.09960898
"50","YBR026C","ETR1","UT","UT.3_1",15.40759686
"51","YBR034C","HMT1","UT","UT.3_1",15.282974
"52","YBR035C","PDX3","UT","UT.3_1",16.14046518
"53","YBR039W","ATP3","UT","UT.3_1",16.65878318
"54","YBR048W;YDR025W",NA,"UT","UT.3_1",19.83182741
"55","YBR052C","RFS1","UT","UT.3_1",15.47609476
"56","YBR072W","HSP26","UT","UT.3_1",15.85274504
"57","YBR078W","ECM33","UT","UT.3_1",19.30772439
"58","YBR079C","RPG1","UT","UT.3_1",16.62943433
"59","YBR080C","SEC18","UT","UT.3_1",15.3507578
"60","YBR084W","MIS1","UT","UT.3_1",15.67558367
"61","YBR085W","AAC3","UT","UT.3_1",18.69141431
"62","YBR086C","IST2","UT","UT.3_1",15.41059478
"63","YBR088C","POL30","UT","UT.3_1",16.46876392
"64","YBR089C-A","NHP6B","UT","UT.3_1",15.53144691
"65","YBR092C","PHO3","UT","UT.3_1",16.0737459
"66","YBR094W","PBY1","UT","UT.3_1",14.48010408
"67","YBR101C","FES1","UT","UT.3_1",15.31624479
"68","YBR106W","PHO88","UT","UT.3_1",17.37098493
"69","YBR111C","YSA1","UT","UT.3_1",15.8501481
"70","YBR112C","CYC8","UT","UT.3_1",14.47598113
"71","YBR115C","LYS2","UT","UT.3_1",15.72339608
"72","YBR118W;YPR080W",NA,"UT","UT.3_1",18.86824043
"73","YBR121C","GRS1","UT","UT.3_1",17.14372247
"74","YBR126C","TPS1","UT","UT.3_1",15.93225891
"75","YBR127C","VMA2","UT","UT.3_1",17.35208648
"76","YBR130C","SHE3","UT","UT.3_1",15.73339067
"77","YBR143C","SUP45","UT","UT.3_1",16.5789958
"78","YBR149W","ARA1","UT","UT.3_1",15.86866876
"79","YBR154C","RPB5","UT","UT.3_1",16.21852229
"80","YBR155W","CNS1","UT","UT.3_1",13.91259975
"81","YBR160W","CDC28","UT","UT.3_1",15.08929449
"82","YBR162C","TOS1","UT","UT.3_1",15.93000562
"83","YBR164C","ARL1","UT","UT.3_1",15.05699076
"84","YBR169C","SSE2","UT","UT.3_1",14.92379503
"85","YBR170C","NPL4","UT","UT.3_1",14.59282239
"86","YBR177C","EHT1","UT","UT.3_1",15.40371564
"87","YBR181C;YPL090C",NA,"UT","UT.3_1",19.08532479
"88","YBR189W","RPS9B","UT","UT.3_1",19.71317882
"89","YBR196C","PGI1","UT","UT.3_1",18.77942195
"90","YBR198C","TAF5","UT","UT.3_1",14.83432324
"91","YBR205W","KTR3","UT","UT.3_1",15.72271041
"92","YBR218C","PYC2","UT","UT.3_1",15.84261391
"93","YBR221C","PDB1","UT","UT.3_1",18.90772229
"94","YBR222C","PCS60","UT","UT.3_1",15.35810117
"95","YBR234C","ARC40","UT","UT.3_1",15.49259306
"96","YBR244W","GPX2","UT","UT.3_1",15.26729884
"97","YBR245C","ISW1","UT","UT.3_1",14.63898839
"98","YBR247C","ENP1","UT","UT.3_1",15.28372566
"99","YBR248C","HIS7","UT","UT.3_1",14.53242032
"100","YBR249C","ARO4","UT","UT.3_1",16.96881205
"101","YBR252W","DUT1","UT","UT.3_1",15.84087193
"102","YBR256C","RIB5","UT","UT.3_1",14.27574373
"103","YBR263W","SHM1","UT","UT.3_1",16.45092604
"104","YBR265W","TSC10","UT","UT.3_1",14.54999295
"105","YBR286W","APE3","UT","UT.3_1",16.98889562
"106","YCL009C","ILV6","UT","UT.3_1",16.620664
"107","YCL011C","GBP2","UT","UT.3_1",16.24633389
"108","YCL017C","NFS1","UT","UT.3_1",15.01906026
"109","YCL028W","RNQ1","UT","UT.3_1",14.95727194
"110","YCL030C","HIS4","UT","UT.3_1",15.97898612
"111","YCL037C","SRO9","UT","UT.3_1",16.67733716
"112","YCL040W","GLK1","UT","UT.3_1",16.36744981
"113","YCL043C","PDI1","UT","UT.3_1",17.01746549
"114","YCL045C","EMC1","UT","UT.3_1",15.234735
"115","YCL050C","APA1","UT","UT.3_1",16.28539545
"116","YCL057C-A","MIC10","UT","UT.3_1",15.20248205
"117","YCL057W","PRD1","UT","UT.3_1",14.37518914
"118","YCL064C","CHA1","UT","UT.3_1",15.47375541
"119","YCR002C","CDC10","UT","UT.3_1",15.43679235
"120","YCR004C","YCP4","UT","UT.3_1",16.9217468
"121","YCR005C","CIT2","UT","UT.3_1",14.03931301
"122","YCR009C","RVS161","UT","UT.3_1",15.36209462
"123","YCR012W","PGK1","UT","UT.3_1",21.54896991
"124","YCR028C-A","RIM1","UT","UT.3_1",17.45102392
"125","YCR030C","SYP1","UT","UT.3_1",14.77890649
"126","YCR051W","YCR051W","UT","UT.3_1",14.73590123
"127","YCR052W","RSC6","UT","UT.3_1",15.07504199
"128","YCR053W","THR4","UT","UT.3_1",17.55766925
"129","YCR057C","PWP2","UT","UT.3_1",14.60863272
"130","YCR077C","PAT1","UT","UT.3_1",15.26344723
"131","YCR084C","TUP1","UT","UT.3_1",15.07933748
"132","YCR087C-A","YCR087C-A","UT","UT.3_1",15.58282059
"133","YCR088W","ABP1","UT","UT.3_1",16.18988517
"134","YCR090C","YCR090C","UT","UT.3_1",15.098966
"135","YCR093W","CDC39","UT","UT.3_1",14.46928011
"136","YDL007W","RPT2","UT","UT.3_1",16.13191864
"137","YDL014W","NOP1","UT","UT.3_1",18.0839889
"138","YDL022W","GPD1","UT","UT.3_1",16.70171183
"139","YDL029W","ARP2","UT","UT.3_1",17.01696225
"140","YDL031W","DBP10","UT","UT.3_1",14.72182656
"141","YDL040C","NAT1","UT","UT.3_1",15.37589897
"142","YDL051W","LHP1","UT","UT.3_1",15.99317971
"143","YDL052C","SLC1","UT","UT.3_1",16.19492123
"144","YDL053C","PBP4","UT","UT.3_1",14.86501171
"145","YDL055C","PSA1","UT","UT.3_1",18.20185664
"146","YDL061C","RPS29B","UT","UT.3_1",18.7018514
"147","YDL066W","IDP1","UT","UT.3_1",16.79546268
"148","YDL072C","YET3","UT","UT.3_1",17.32173257
"149","YDL078C","MDH3","UT","UT.3_1",15.4627993
"150","YDL083C;YMR143W",NA,"UT","UT.3_1",20.86757992
"151","YDL084W","SUB2","UT","UT.3_1",16.78923592
"152","YDL086W","YDL086W","UT","UT.3_1",14.90771996
"153","YDL095W","PMT1","UT","UT.3_1",15.2106651
"154","YDL097C","RPN6","UT","UT.3_1",16.87469183
"155","YDL100C","GET3","UT","UT.3_1",16.40567502
"156","YDL103C","QRI1","UT","UT.3_1",14.92613399
"157","YDL112W","TRM3","UT","UT.3_1",14.19293901
"158","YDL122W","UBP1","UT","UT.3_1",15.09788047
"159","YDL124W","YDL124W","UT","UT.3_1",15.78355362
"160","YDL125C","HNT1","UT","UT.3_1",16.56081915
"161","YDL126C","CDC48","UT","UT.3_1",16.76763792
"162","YDL131W","LYS21","UT","UT.3_1",15.21345321
"163","YDL132W","CDC53","UT","UT.3_1",14.63709281
"164","YDL135C","RDI1","UT","UT.3_1",15.42158468
"165","YDL136W;YDL191W",NA,"UT","UT.3_1",19.22627658
"166","YDL140C","RPO21","UT","UT.3_1",15.44305407
"167","YDL143W","CCT4","UT","UT.3_1",16.25735799
"168","YDL145C","COP1","UT","UT.3_1",16.26072576
"169","YDL147W","RPN5","UT","UT.3_1",16.17684288
"170","YDL148C","NOP14","UT","UT.3_1",15.18677333
"171","YDL153C","SAS10","UT","UT.3_1",15.05448426
"172","YDL160C","DHH1","UT","UT.3_1",16.22407456
"173","YDL161W","ENT1","UT","UT.3_1",14.78836846
