"","systematic_name","gene","treatment_id","sample_id","abundance_log2"
"1","YAL003W","EFB1","C3","C3.67_1",18.43404213
"2","YAL005C","SSA1","C3","C3.67_1",16.99197096
"3","YAL007C","ERP2","C3","C3.67_1",15.04598186
"4","YAL012W","CYS3","C3","C3.67_1",18.18992867
"5","YAL016W","TPD3","C3","C3.67_1",15.21075234
"6","YAL021C","CCR4","C3","C3.67_1",14.70509784
"7","YAL023C","PMT2","C3","C3.67_1",15.59322766
"8","YAL035W","FUN12","C3","C3.67_1",15.67817178
"9","YAL036C","RBG1","C3","C3.67_1",15.79860291
"10","YAL038W","CDC19","C3","C3.67_1",20.64349776
"11","YAL042W","ERV46","C3","C3.67_1",14.79222939
"12","YAL044C","GCV3","C3","C3.67_1",15.80823299
"13","YAL060W","BDH1","C3","C3.67_1",15.25725669
"14","YAR002C-A","ERP1","C3","C3.67_1",16.9688334
"15","YAR002W","NUP60","C3","C3.67_1",14.42699486
"16","YAR007C","RFA1","C3","C3.67_1",15.15661825
"17","YAR015W","ADE1","C3","C3.67_1",15.33524109
"18","YBL002W","HTB2","C3","C3.67_1",18.17574354
"19","YBL003C;YDR225W",NA,"C3","C3.67_1",19.19171997
"20","YBL007C","SLA1","C3","C3.67_1",14.66747217
"21","YBL017C","PEP1","C3","C3.67_1",14.9038704
"22","YBL022C","PIM1","C3","C3.67_1",14.26530006
"23","YBL023C","MCM2","C3","C3.67_1",14.26384922
"24","YBL024W","NCL1","C3","C3.67_1",16.20058697
"25","YBL026W","LSM2","C3","C3.67_1",16.20834898
"26","YBL027W;YBR084C-A",NA,"C3","C3.67_1",20.34291753
"27","YBL030C","PET9","C3","C3.67_1",16.52500911
"28","YBL032W","HEK2","C3","C3.67_1",15.9465607
"29","YBL036C","YBL036C","C3","C3.67_1",14.76391512
"30","YBL039C","URA7","C3","C3.67_1",15.88826472
"31","YBL041W","PRE7","C3","C3.67_1",16.12829583
"32","YBL045C","COR1","C3","C3.67_1",15.34460962
"33","YBL047C","EDE1","C3","C3.67_1",15.32401954
"34","YBL050W","SEC17","C3","C3.67_1",15.06199251
"35","YBL058W","SHP1","C3","C3.67_1",14.03696204
"36","YBL064C","PRX1","C3","C3.67_1",14.57855893
"37","YBL072C;YER102W",NA,"C3","C3.67_1",21.51797827
"38","YBL075C","SSA3","C3","C3.67_1",16.84274654
"39","YBL076C","ILS1","C3","C3.67_1",17.38364365
"40","YBL087C;YER117W",NA,"C3","C3.67_1",18.67039033
"41","YBL091C","MAP2","C3","C3.67_1",15.02420471
"42","YBL092W","RPL32","C3","C3.67_1",18.57867648
"43","YBL099W","ATP1","C3","C3.67_1",16.94501135
"44","YBL102W","SFT2","C3","C3.67_1",15.70408548
"45","YBR009C;YNL030W",NA,"C3","C3.67_1",17.79310952
"46","YBR011C","IPP1","C3","C3.67_1",17.65095947
"47","YBR015C","MNN2","C3","C3.67_1",15.41719678
"48","YBR017C","KAP104","C3","C3.67_1",15.52779763
"49","YBR025C","OLA1","C3","C3.67_1",16.76454013
"50","YBR026C","ETR1","C3","C3.67_1",14.93873375
"51","YBR034C","HMT1","C3","C3.67_1",15.01811637
"52","YBR035C","PDX3","C3","C3.67_1",16.16462571
"53","YBR039W","ATP3","C3","C3.67_1",15.81727451
"54","YBR048W;YDR025W",NA,"C3","C3.67_1",19.36470349
"55","YBR052C","RFS1","C3","C3.67_1",15.14877881
"56","YBR072W","HSP26","C3","C3.67_1",14.27684259
"57","YBR078W","ECM33","C3","C3.67_1",19.13001573
"58","YBR079C","RPG1","C3","C3.67_1",16.30397545
"59","YBR080C","SEC18","C3","C3.67_1",15.37223672
"60","YBR084W","MIS1","C3","C3.67_1",15.52646903
"61","YBR085W","AAC3","C3","C3.67_1",17.56040817
"62","YBR086C","IST2","C3","C3.67_1",14.32514286
"63","YBR088C","POL30","C3","C3.67_1",16.32880721
"64","YBR089C-A","NHP6B","C3","C3.67_1",16.80891578
"65","YBR092C","PHO3","C3","C3.67_1",16.54770415
"66","YBR094W","PBY1","C3","C3.67_1",14.25161835
"67","YBR101C","FES1","C3","C3.67_1",14.97670885
"68","YBR106W","PHO88","C3","C3.67_1",17.03319629
"69","YBR111C","YSA1","C3","C3.67_1",16.59352585
"70","YBR112C","CYC8","C3","C3.67_1",14.0809003
"71","YBR115C","LYS2","C3","C3.67_1",15.78935832
"72","YBR118W;YPR080W",NA,"C3","C3.67_1",19.37051474
"73","YBR121C","GRS1","C3","C3.67_1",16.74029495
"74","YBR126C","TPS1","C3","C3.67_1",15.18851067
"75","YBR127C","VMA2","C3","C3.67_1",17.01634839
"76","YBR130C","SHE3","C3","C3.67_1",14.19438798
"77","YBR143C","SUP45","C3","C3.67_1",16.78531916
