systematic_name,gene,treatment_id,fc_log2,p_value,adj_p_value,regulated
YAL003W,EFB1,AF,-0.2857175,0.287356946,0.566935725,FALSE
YAL005C,SSA1,AF,0.1382375,0.608660809,0.813369929,FALSE
YAL007C,ERP2,AF,0.343978333,0.150006059,0.403118752,FALSE
YAL012W,CYS3,AF,-0.341454167,0.22951652,0.50583286,FALSE
YAL016W,TPD3,AF,-0.2628825,0.176981327,0.441433387,FALSE
YAL021C,CCR4,AF,-0.101673333,0.524749601,0.761006574,FALSE
YAL023C,PMT2,AF,-0.068276667,0.794361546,0.914722387,FALSE
YAL035W,FUN12,AF,-0.153644167,0.193525139,0.464268054,FALSE
YAL036C,RBG1,AF,0.058656667,0.672901912,0.851138943,FALSE
YAL038W,CDC19,AF,-0.20747,0.202965681,0.475610188,FALSE
YAL042W,ERV46,AF,-0.0961075,0.606491991,0.812025044,FALSE
YAL044C,GCV3,AF,-0.3053925,0.40718143,0.67473108,FALSE
YAL060W,BDH1,AF,0.050959167,0.829182248,0.931464222,FALSE
YAR002C-A,ERP1,AF,0.196605833,0.341243787,0.618644619,FALSE
YAR002W,NUP60,AF,-0.142413333,0.364439246,0.639548453,FALSE
YAR007C,RFA1,AF,-0.088341667,0.37456773,0.648257348,FALSE
YAR015W,ADE1,AF,-0.101498333,0.548149398,0.775993932,FALSE
YBL002W,HTB2,AF,-0.793974167,6.80E-04,0.013669827,FALSE
YBL003C;YDR225W,NA,AF,-0.9359225,0.00191019,0.027968119,FALSE
YBL007C,SLA1,AF,0.020548333,0.886436469,0.957876758,FALSE
YBL017C,PEP1,AF,0.343256667,0.028872028,0.159011616,FALSE
YBL022C,PIM1,AF,-0.057359167,0.704530822,0.869296708,FALSE
YBL023C,MCM2,AF,0.090268333,0.614104275,0.816581393,FALSE
YBL024W,NCL1,AF,0.029365833,0.816722542,0.92631798,FALSE
YBL026W,LSM2,AF,-0.588389167,0.003424683,0.041308709,FALSE
YBL027W;YBR084C-A,NA,AF,-0.585621667,0.255948553,0.535546458,FALSE
YBL030C,PET9,AF,-0.094345833,0.665643073,0.847303384,FALSE
YBL032W,HEK2,AF,0.002439167,0.990634302,0.997119633,FALSE
YBL036C,YBL036C,AF,0.018313333,0.924543542,0.972565617,FALSE
YBL039C,URA7,AF,0.13854,0.264265621,0.544892791,FALSE
